book,pairs,file
NBA体能训练-全美篮球体能教练-原书,80,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NBA体能训练-全美篮球体能教练-原书/pairs_NBA体能训练-全美篮球体能教练-原书_2026-05-06.json
囚徒健身2读书笔记,80,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身2读书笔记/pairs_囚徒健身2读书笔记_2026-05-07.json
美国国家体能协会 力量训练指南,80,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/美国国家体能协会 力量训练指南/pairs_美国国家体能协会 力量训练指南_2026-05-07.json
《拉力器上的铁人》,79,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《拉力器上的铁人》/pairs_《拉力器上的铁人》_2026-05-07.json
《肌肉训练完全图解 力量与体能训练》【美】,79,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉训练完全图解 力量与体能训练》【美】/pairs_《肌肉训练完全图解 力量与体能训练》【美】_2026-05-07.json
HP入门书单6 Zatsiorsky 2000-BIOMECHANICS IN SPORT,78,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/HP入门书单6 Zatsiorsky 2000-BIOMECHANICS IN SPORT/pairs_HP入门书单6 Zatsiorsky 2000-BIOMECHANICS IN _2026-05-06.json
《肌肉训练完全图解 核心稳定性训练》,77,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉训练完全图解 核心稳定性训练》/pairs_《肌肉训练完全图解 核心稳定性训练》_2026-05-07.json
动作  功能动作训练体系_（美）库克著_张英波译_2011年,77,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/动作  功能动作训练体系_（美）库克著_张英波译_2011年/pairs_动作  功能动作训练体系_（美）库克著_张英波译_2011年_2026-05-07.json
现代体能训练：弹力带全方位力量训练方法,77,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/现代体能训练：弹力带全方位力量训练方法/pairs_现代体能训练：弹力带全方位力量训练方法_2026-05-07.json
肌力与体能训练【台湾繁体第2版】...,77,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌力与体能训练【台湾繁体第2版】.../pairs_肌力与体能训练【台湾繁体第2版】..._2026-05-07.json
《三维图解：协调性提升书》【美】埃尔斯沃斯,76,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《三维图解：协调性提升书》【美】埃尔斯沃斯/pairs_《三维图解：协调性提升书》【美】埃尔斯沃斯_2026-05-07.json
4-运动训练电子书,75,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/4-运动训练电子书/pairs_4-运动训练电子书_2026-05-06.json
《Developing the Core》（NSCA 2013）,75,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《Developing the Core》（NSCA 2013）/pairs_《Developing the Core》（NSCA 2013）_2026-05-07.json
动作（功能动作训练体系）,74,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/动作（功能动作训练体系）/pairs_动作（功能动作训练体系）_2026-05-07.json
图解肌肉运动疗法,74,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/图解肌肉运动疗法/pairs_图解肌肉运动疗法_2026-05-07.json
核心发展训练,74,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/核心发展训练/pairs_核心发展训练_2026-05-07.json
NSCA_Developing t he core,73,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_Developing t he core/pairs_NSCA_Developing t he core_2026-05-06.json
已上架602——NSCA——NSCA+：Developing+t...,73,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架602——NSCA——NSCA+：Developing+t.../pairs_已上架602——NSCA——NSCA+：Developing+t..._2026-05-07.json
NSCA_Developing speed,72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_Developing speed/pairs_NSCA_Developing speed_2026-05-06.json
[办公室里的小动作大健康].顾勇.高丽萍.扫描版,72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[办公室里的小动作大健康].顾勇.高丽萍.扫描版/pairs_[办公室里的小动作大健康].顾勇.高丽萍.扫描版_2026-05-07.json
[赵之心：女性健康用哑铃].全彩版,72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[赵之心：女性健康用哑铃].全彩版/pairs_[赵之心：女性健康用哑铃].全彩版_2026-05-07.json
《肌肉训练完全图解 功能性训练》【美】,72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉训练完全图解 功能性训练》【美】/pairs_《肌肉训练完全图解 功能性训练》【美】_2026-05-07.json
《赵之心：女性健康用哑铃》,72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《赵之心：女性健康用哑铃》/pairs_《赵之心：女性健康用哑铃》_2026-05-07.json
已上架1011——NSCA——NSCA：Developing+s...,72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架1011——NSCA——NSCA：Developing+s.../pairs_已上架1011——NSCA——NSCA：Developing+s..._2026-05-07.json
篮球 (少年儿童业余训练《篮球》教材编写组编),72,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/篮球 (少年儿童业余训练《篮球》教材编写组编)/pairs_篮球 (少年儿童业余训练《篮球》教材编写组编)_2026-05-07.json
《三维图解：肌肉塑形书》【美】拉姆齐,71,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《三维图解：肌肉塑形书》【美】拉姆齐/pairs_《三维图解：肌肉塑形书》【美】拉姆齐_2026-05-07.json
Lee E. Brown, Vance A. Ferrigno Training for Speed, Agility, and Quickness Special Book DVD Package,70,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Lee E. Brown, Vance A. Ferrigno Training for Speed, Agility, and Quickness Special Book DVD Package/pairs_Lee E. Brown, Vance A. Ferrigno Training_2026-05-06.json
《三维图解：肩背调理书》【美】斯特里亚诺,68,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《三维图解：肩背调理书》【美】斯特里亚诺/pairs_《三维图解：肩背调理书》【美】斯特里亚诺_2026-05-07.json
《瑜伽解剖学》,68,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《瑜伽解剖学》/pairs_《瑜伽解剖学》_2026-05-07.json
徒手健身运动,68,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/徒手健身运动/pairs_徒手健身运动_2026-05-07.json
骨盘图解,67,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/骨盘图解/pairs_骨盘图解_2026-05-07.json
10周打造超MAN体态,65,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/10周打造超MAN体态/pairs_10周打造超MAN体态_2026-05-06.json
肌肉与健身特刊-101组训练,65,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌肉与健身特刊-101组训练/pairs_肌肉与健身特刊-101组训练_2026-05-07.json
《哑铃最健身》,64,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《哑铃最健身》/pairs_《哑铃最健身》_2026-05-07.json
举重 (青少年业余训练《举重》教材编写组编),64,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/举重 (青少年业余训练《举重》教材编写组编)/pairs_举重 (青少年业余训练《举重》教材编写组编)_2026-05-07.json
健身书籍01   167本__美国国家体能协会私人教练基础,64,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍01   167本__美国国家体能协会私人教练基础/pairs_健身书籍01   167本__美国国家体能协会私人教练基础_2026-05-07.json
Anatomy Trains,63,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Anatomy Trains/pairs_Anatomy Trains_2026-05-06.json
《女性跑步健体书》(英)墨菲,63,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《女性跑步健体书》(英)墨菲/pairs_《女性跑步健体书》(英)墨菲_2026-05-07.json
实用运动医学（修订版）,63,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/实用运动医学（修订版）/pairs_实用运动医学（修订版）_2026-05-07.json
青花鱼教练,63,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/青花鱼教练/pairs_青花鱼教练_2026-05-07.json
青花鱼教练让男人拥有王字腹肌,63,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/青花鱼教练让男人拥有王字腹肌/pairs_青花鱼教练让男人拥有王字腹肌_2026-05-07.json
文档-健身书籍（3.17G）__美国国家体能协会私人教练基础,62,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/文档-健身书籍（3.17G）__美国国家体能协会私人教练基础/pairs_文档-健身书籍（3.17G）__美国国家体能协会私人教练基础_2026-05-07.json
自我锻炼法——强身健体秘法 三分钟见奇效(晋学新),62,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/自我锻炼法——强身健体秘法 三分钟见奇效(晋学新)/pairs_自我锻炼法——强身健体秘法 三分钟见奇效(晋学新)_2026-05-07.json
《现代体能训练核心力量训练方法》,61,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《现代体能训练核心力量训练方法》/pairs_《现代体能训练核心力量训练方法》_2026-05-07.json
《运动解剖学图谱》,61,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《运动解剖学图谱》/pairs_《运动解剖学图谱》_2026-05-07.json
文档-健身书籍（3.17G）__青花鱼教练让男人拥有王字腹肌,61,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/文档-健身书籍（3.17G）__青花鱼教练让男人拥有王字腹肌/pairs_文档-健身书籍（3.17G）__青花鱼教练让男人拥有王字腹肌_2026-05-07.json
青花鱼教练让女人拥有S形曲线,61,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/青花鱼教练让女人拥有S形曲线/pairs_青花鱼教练让女人拥有S形曲线_2026-05-07.json
Yoga_Anatomy,60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Yoga_Anatomy/pairs_Yoga_Anatomy_2026-05-07.json
《10周打造超MAN体态》,60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《10周打造超MAN体态》/pairs_《10周打造超MAN体态》_2026-05-07.json
《青花鱼教练让男人拥有王字腹肌》,60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《青花鱼教练让男人拥有王字腹肌》/pairs_《青花鱼教练让男人拥有王字腹肌》_2026-05-07.json
囚徒健身,60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身/pairs_囚徒健身_2026-05-07.json
囚徒健身.(美),60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身.(美)/pairs_囚徒健身.(美)_2026-05-07.json
囚徒健身中文完整版[保罗·威德],60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身中文完整版[保罗·威德]/pairs_囚徒健身中文完整版[保罗·威德]_2026-05-07.json
基于生物力学的纠正性训练 (贾斯汀·普莱斯) (Z-Library),60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/基于生物力学的纠正性训练 (贾斯汀·普莱斯) (Z-Library)/pairs_基于生物力学的纠正性训练 (贾斯汀·普莱斯) (Z-Library)_2026-05-07.json
运动拉伸实用手册,60,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动拉伸实用手册/pairs_运动拉伸实用手册_2026-05-07.json
《三维图解：体能增强书》【美】莫纳夏,59,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《三维图解：体能增强书》【美】莫纳夏/pairs_《三维图解：体能增强书》【美】莫纳夏_2026-05-07.json
运动拉伸实用手册(1),59,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动拉伸实用手册(1)/pairs_运动拉伸实用手册(1)_2026-05-07.json
运动解剖学图谱 第3版,59,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动解剖学图谱 第3版/pairs_运动解剖学图谱 第3版_2026-05-07.json
（台版）肌肉骨骼系統肌動學復健醫學基礎,59,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/（台版）肌肉骨骼系統肌動學復健醫學基礎/pairs_（台版）肌肉骨骼系統肌動學復健醫學基礎_2026-05-07.json
NSCA_私人教练基础,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_私人教练基础/pairs_NSCA_私人教练基础_2026-05-06.json
[健身解剖指南].(美)尼克.埃文斯.扫描版,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[健身解剖指南].(美)尼克.埃文斯.扫描版/pairs_[健身解剖指南].(美)尼克.埃文斯.扫描版_2026-05-07.json
《YOU身体锻炼手册 真实年龄健身计划》 ,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《YOU身体锻炼手册 真实年龄健身计划》 /pairs_《YOU身体锻炼手册 真实年龄健身计划》 _2026-05-07.json
《肌肉健美训练图解》【法】,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉健美训练图解》【法】/pairs_《肌肉健美训练图解》【法】_2026-05-07.json
《青花鱼教练让女人拥有S形曲线》,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《青花鱼教练让女人拥有S形曲线》/pairs_《青花鱼教练让女人拥有S形曲线》_2026-05-07.json
囚徒健身1,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身1/pairs_囚徒健身1_2026-05-07.json
囚徒健身1 用失传的技艺练就强大的生存实力,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身1 用失传的技艺练就强大的生存实力/pairs_囚徒健身1 用失传的技艺练就强大的生存实力_2026-05-07.json
肌肉健美训练图解（高清晰）,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌肉健美训练图解（高清晰）/pairs_肌肉健美训练图解（高清晰）_2026-05-07.json
解剖英文版,58,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/解剖英文版/pairs_解剖英文版_2026-05-07.json
[女性跑步健体书].(英)墨菲.扫描版,57,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[女性跑步健体书].(英)墨菲.扫描版/pairs_[女性跑步健体书].(英)墨菲.扫描版_2026-05-07.json
[男士健身2013年5月]Mens.Fitness.may.2013.美国健身杂志社.影印版,57,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[男士健身2013年5月]Mens.Fitness.may.2013.美国健身杂志社.影印版/pairs_[男士健身2013年5月]Mens.Fitness.may.2013.美国健身杂_2026-05-07.json
健身书籍02   34本__青花鱼教练让男人拥有王字腹肌,57,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍02   34本__青花鱼教练让男人拥有王字腹肌/pairs_健身书籍02   34本__青花鱼教练让男人拥有王字腹肌_2026-05-07.json
运动解剖学图谱（第3版）,57,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动解剖学图谱（第3版）/pairs_运动解剖学图谱（第3版）_2026-05-07.json
健身解剖指南,56,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身解剖指南/pairs_健身解剖指南_2026-05-07.json
囚徒健身（中文完整版）（保罗·威德）,56,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身（中文完整版）（保罗·威德）/pairs_囚徒健身（中文完整版）（保罗·威德）_2026-05-07.json
解剖列车第三版,56,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/解剖列车第三版/pairs_解剖列车第三版_2026-05-07.json
YOU身体锻炼手册 真实年龄健身计划 (1),55,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/YOU身体锻炼手册 真实年龄健身计划 (1)/pairs_YOU身体锻炼手册 真实年龄健身计划 (1)_2026-05-07.json
健身书籍02   34本__囚徒健身2翻译版,55,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍02   34本__囚徒健身2翻译版/pairs_健身书籍02   34本__囚徒健身2翻译版_2026-05-07.json
囚徒健身 Convict Conditioning,55,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身 Convict Conditioning/pairs_囚徒健身 Convict Conditioning_2026-05-07.json
核心肌肉訓練,55,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/核心肌肉訓練/pairs_核心肌肉訓練_2026-05-07.json
骨骼肌肉功能解剖学+第2版_唐纳德·A.诺依...,55,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/骨骼肌肉功能解剖学+第2版_唐纳德·A.诺依.../pairs_骨骼肌肉功能解剖学+第2版_唐纳德·A.诺依..._2026-05-07.json
《健身解剖指南》,54,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《健身解剖指南》/pairs_《健身解剖指南》_2026-05-07.json
《男子塑型减肥4周方案·彩图版》高信东,54,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《男子塑型减肥4周方案·彩图版》高信东/pairs_《男子塑型减肥4周方案·彩图版》高信东_2026-05-07.json
力量与肌肉训练图谱(1),54,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/力量与肌肉训练图谱(1)/pairs_力量与肌肉训练图谱(1)_2026-05-07.json
第6期 解剖列车第三版中文,54,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/第6期 解剖列车第三版中文/pairs_第6期 解剖列车第三版中文_2026-05-07.json
1-运动训练基础理论 (横滨市运动医学中心) ,53,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/1-运动训练基础理论 (横滨市运动医学中心) /pairs_1-运动训练基础理论 (横滨市运动医学中心) _2026-05-06.json
《健美技巧图解》曹兵,53,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《健美技巧图解》曹兵/pairs_《健美技巧图解》曹兵_2026-05-07.json
核心区训练--改善身体及生活的革命式训练方案--美国翻译版0(1),53,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/核心区训练--改善身体及生活的革命式训练方案--美国翻译版0(1)/pairs_核心区训练--改善身体及生活的革命式训练方案--美国翻译版0(1)_2026-05-07.json
牵伸解剖指南,53,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/牵伸解剖指南/pairs_牵伸解剖指南_2026-05-07.json
肌肉骨骼系统的运动学，基础康复（2010高清英文版）Kinesiology of the Musculoskeletal System,Foundations for Rehabilitation,second edition,53,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌肉骨骼系统的运动学，基础康复（2010高清英文版）Kinesiology of the Musculoskeletal System,Foundations for Rehabilitation,second edition/pairs_肌肉骨骼系统的运动学，基础康复（2010高清英文版）Kinesiology of_2026-05-07.json
骨骼肌肉功能解剖学（第2版）,53,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/骨骼肌肉功能解剖学（第2版）/pairs_骨骼肌肉功能解剖学（第2版）_2026-05-07.json
Anatomy of Movement,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Anatomy of Movement/pairs_Anatomy of Movement_2026-05-06.json
NSCA_Strength training,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA_Strength training/pairs_NSCA_Strength training_2026-05-06.json
Pavel_Tsatsouline_-_The_Naked_Warrior徒...,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Pavel_Tsatsouline_-_The_Naked_Warrior徒.../pairs_Pavel_Tsatsouline_-_The_Naked_Warrior徒.._2026-05-07.json
[力量与肌肉训练图解].(英)马克·韦勒.扫描版,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[力量与肌肉训练图解].(英)马克·韦勒.扫描版/pairs_[力量与肌肉训练图解].(英)马克·韦勒.扫描版_2026-05-07.json
《力量与肌肉训练图解》【法】德拉威尔,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《力量与肌肉训练图解》【法】德拉威尔/pairs_《力量与肌肉训练图解》【法】德拉威尔_2026-05-07.json
《拉伸101》,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《拉伸101》/pairs_《拉伸101》_2026-05-07.json
《瑜伽3D解剖书-2(动作篇)》,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《瑜伽3D解剖书-2(动作篇)》/pairs_《瑜伽3D解剖书-2(动作篇)》_2026-05-07.json
健身书籍01   167本__运动解剖学图谱（第2版）,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍01   167本__运动解剖学图谱（第2版）/pairs_健身书籍01   167本__运动解剖学图谱（第2版）_2026-05-07.json
健身书籍03  24本__肌肉健美训练图解,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍03  24本__肌肉健美训练图解/pairs_健身书籍03  24本__肌肉健美训练图解_2026-05-07.json
已上架1008——NSCA——NSCA+National+Stre...,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架1008——NSCA——NSCA+National+Stre.../pairs_已上架1008——NSCA——NSCA+National+Stre..._2026-05-07.json
普拉提自学天书,52,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/普拉提自学天书/pairs_普拉提自学天书_2026-05-07.json
健身书籍01   167本__囚徒健身2翻译版,51,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍01   167本__囚徒健身2翻译版/pairs_健身书籍01   167本__囚徒健身2翻译版_2026-05-07.json
核心区训练--改善身体及生活的革命式训练方案--美国翻译版0,51,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/核心区训练--改善身体及生活的革命式训练方案--美国翻译版0/pairs_核心区训练--改善身体及生活的革命式训练方案--美国翻译版0_2026-05-07.json
运动解剖学图谱（第2版）,51,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动解剖学图谱（第2版）/pairs_运动解剖学图谱（第2版）_2026-05-07.json
《力量与博击训练》,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《力量与博击训练》/pairs_《力量与博击训练》_2026-05-07.json
人体解剖全书,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/人体解剖全书/pairs_人体解剖全书_2026-05-07.json
健身书籍06  58本__肌肉健美训练图解,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/健身书籍06  58本__肌肉健美训练图解/pairs_健身书籍06  58本__肌肉健美训练图解_2026-05-07.json
力量与肌肉训练图谱,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/力量与肌肉训练图谱/pairs_力量与肌肉训练图谱_2026-05-07.json
囚徒健身1英文版,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/囚徒健身1英文版/pairs_囚徒健身1英文版_2026-05-07.json
解剖列车.pdf,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/解剖列车.pdf/pairs_解剖列车.pdf_2026-05-07.json
解剖列车第三版中文,50,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/解剖列车第三版中文/pairs_解剖列车第三版中文_2026-05-07.json
[肌肉健美训练图解（最新版）].（法）德拉威尔.扫描版,49,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[肌肉健美训练图解（最新版）].（法）德拉威尔.扫描版/pairs_[肌肉健美训练图解（最新版）].（法）德拉威尔.扫描版_2026-05-07.json
《美腰力，轻松塑造小蛮腰》,49,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《美腰力，轻松塑造小蛮腰》/pairs_《美腰力，轻松塑造小蛮腰》_2026-05-07.json
力量与肌肉训练图解,49,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/力量与肌肉训练图解/pairs_力量与肌肉训练图解_2026-05-07.json
已上架604——NSCA——NSCA：DEVELOPING+EN...,49,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/已上架604——NSCA——NSCA：DEVELOPING+EN.../pairs_已上架604——NSCA——NSCA：DEVELOPING+EN..._2026-05-07.json
运动解剖学图谱（修订版）,48,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动解剖学图谱（修订版）/pairs_运动解剖学图谱（修订版）_2026-05-07.json
EXOS：核心区训练--改善身体及生活的革命式训练方案,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/EXOS：核心区训练--改善身体及生活的革命式训练方案/pairs_EXOS：核心区训练--改善身体及生活的革命式训练方案_2026-05-06.json
NSCA：耐力训练,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/NSCA：耐力训练/pairs_NSCA：耐力训练_2026-05-06.json
[图解瑜伽经：现在开始讲瑜伽].(印度)帕谭佳里.扫描版,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[图解瑜伽经：现在开始讲瑜伽].(印度)帕谭佳里.扫描版/pairs_[图解瑜伽经：现在开始讲瑜伽].(印度)帕谭佳里.扫描版_2026-05-07.json
[新手瑜伽]Yoga.for.Beginner,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[新手瑜伽]Yoga.for.Beginner/pairs_[新手瑜伽]Yoga.for.Beginner_2026-05-07.json
《运动解剖学图谱》（第2版）,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《运动解剖学图谱》（第2版）/pairs_《运动解剖学图谱》（第2版）_2026-05-07.json
人体运动分析+袁庆成编著+人民体育出版社+1...,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/人体运动分析+袁庆成编著+人民体育出版社+1.../pairs_人体运动分析+袁庆成编著+人民体育出版社+1..._2026-05-07.json
动态拉伸训练--创新热身方法提高肌肉力量强化动作技术增加动作幅度--美国翻译版01,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/动态拉伸训练--创新热身方法提高肌肉力量强化动作技术增加动作幅度--美国翻译版01/pairs_动态拉伸训练--创新热身方法提高肌肉力量强化动作技术增加动作幅度--美国翻译版0_2026-05-07.json
器械健身完全指南,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/器械健身完全指南/pairs_器械健身完全指南_2026-05-07.json
第6期 解剖列车(第二版),47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/第6期 解剖列车(第二版)/pairs_第6期 解剖列车(第二版)_2026-05-07.json
解剖列车(第二版)--中文版,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/解剖列车(第二版)--中文版/pairs_解剖列车(第二版)--中文版_2026-05-07.json
运动解剖学图谱马梁整理15383866958（第2版）,47,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/运动解剖学图谱马梁整理15383866958（第2版）/pairs_运动解剖学图谱马梁整理15383866958（第2版）_2026-05-07.json
文档-健身书籍（3.17G）__运动解剖学图谱（第2版）,46,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/文档-健身书籍（3.17G）__运动解剖学图谱（第2版）/pairs_文档-健身书籍（3.17G）__运动解剖学图谱（第2版）_2026-05-07.json
耐力训练-美国翻译版0,46,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/耐力训练-美国翻译版0/pairs_耐力训练-美国翻译版0_2026-05-07.json
我的运动解剖学图谱（第2版）,45,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/我的运动解剖学图谱（第2版）/pairs_我的运动解剖学图谱（第2版）_2026-05-07.json
拉斐肌肉训练,45,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/拉斐肌肉训练/pairs_拉斐肌肉训练_2026-05-07.json
中长跑：现代技术训练与健身,44,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/中长跑：现代技术训练与健身/pairs_中长跑：现代技术训练与健身_2026-05-07.json
军人体能训练法,44,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/军人体能训练法/pairs_军人体能训练法_2026-05-07.json
动态拉伸训练--创新热身方法提高肌肉力量强化动作技术增加动作幅度--美国翻译版0(1),44,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/动态拉伸训练--创新热身方法提高肌肉力量强化动作技术增加动作幅度--美国翻译版0(1)/pairs_动态拉伸训练--创新热身方法提高肌肉力量强化动作技术增加动作幅度--美国翻译版0_2026-05-07.json
解剖列车(第二版)针对徒手和动作治疗师的肌筋膜经验,44,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/解剖列车(第二版)针对徒手和动作治疗师的肌筋膜经验/pairs_解剖列车(第二版)针对徒手和动作治疗师的肌筋膜经验_2026-05-07.json
